unit_id,original_error_id,source_id,source_image,source_set,topic_type,original_text,error_type,problem_description,recoverable_meaning,possible_future_use,selection_status,notes
U030,S15-E02,S15,15.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four group saw a steady upward trend in internet users over the period.",grammar-related error,"The noun ""group"" should be plural, and the phrase could more precisely refer to the number of Internet users.","Overall, all four groups saw a steady upward trend in the number of Internet users over the period.",,selected_100,"Useful short unit, though similar to S14-E02."
U031,S16-E01,S16,16.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four groups kept going up and the world average during these 15 years.",grammar-related error,The sentence is grammatically incomplete and the phrase “the world average” is not integrated into the sentence structure.,"Overall, all four groups, including the world average, showed an upward trend over the 15-year period.",,selected_100,Good candidate showing incomplete structure in an overview sentence.
U032,S16-E02,S16,16.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Canada always had the most Internet users, while Greece had fewer than the other two countries, and the world average was the lowest all the time.",comparison-related error,"The comparison mixes countries and the world average, and “the lowest all the time” is informal and imprecise.","Canada generally had the highest figures, while Greece and the world average remained lower than the leading countries.",,selected_100,Useful for comparing country data with an average.
U033,S17-E01,S17,17.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The three countries always had much more internet users than the world average.,grammar-related error,"“Much more internet users” should be “many more Internet users,” and the comparison may be too broad.",The three countries generally had higher numbers of Internet users than the world average.,,selected_100,Short and clean grammar/comparison unit.
U034,S17-E02,S17,17.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Denmark and Canada had the highest numbers, then Greece, and the world average was the lowest.",cohesion problem,The sequence “then Greece” is informal and structurally weak for data comparison.,"Denmark and Canada had the highest figures, followed by Greece, while the world average was the lowest.",,selected_100,Useful for testing revision of ordering/comparison structures.
U035,S18-E01,S18,18.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The line graph compares the number of Internet users per 100 people in Greece, Canada, Denmark, and the world average between 1998 and 2013.",data description error,"The wording “per 100 people” may not match the chart unit used in the task, and the world average is listed alongside countries without clear framing.","The line graph compares Internet user figures in Greece, Canada, Denmark and the world average from 1998 to 2013.",,selected_100,Light error; keep as candidate only if more data-description units are needed.
U036,S18-E02,S18,18.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,It is noticeable that Denmark overtook Canada after 2008 and became the highest among all.,idiomaticity or non-standard expression problem,“Became the highest among all” is unnatural; the sentence needs a clearer noun phrase such as “had the highest figure.”,Denmark overtook Canada after 2008 and had the highest figure among all categories.,,selected_100,This student is stronger; only minor candidate selected.
U037,S19-E01,S19,19.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The chart shows the percentage of Internet users in three countries, and the world average from 1998 to 2013.",grammar-related error,The coordinate structure is slightly awkward because “the world average” is not parallel with “three countries.”,The chart shows the percentage of Internet users in three countries and the world average from 1998 to 2013.,,selected_100,Minor but clear introductory-sentence issue.
U038,S19-E02,S19,19.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Both countries increased constantly, reaching almost 90% by 2013.",data description error,"The sentence treats countries as increasing; the subject should be the percentage or Internet usage, not the countries themselves.","The percentages in both countries increased steadily, reaching almost 90% by 2013.",,selected_100,Good Task 1 subject-choice problem.
U039,S20-E01,S20,20.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The line graph compares the number of internet users in three countries — Greece, Denmark and Canada with the world average over 4 years.",data description error,“Over 4 years” is inaccurate or unclear; the chart covers four time points across a 15-year period.,"The line graph compares the number of Internet users in Greece, Denmark and Canada with the world average from 1998 to 2013.",,selected_100,Good data description issue despite otherwise advanced writing.
U040,S20-E02,S20,20.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four categories experienced a substantial upward trajectory over 15-year period.",grammar-related error,The phrase “over 15-year period” is missing an article and the wording is slightly over-formal.,"Overall, all four categories experienced a substantial upward trend over the 15-year period.",,selected_100,Good small grammar/academic style unit.
U041,S21-E01,S21,21.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Developed nations consistently outperformed both Greece and the global average, with Denmark maintaining its lead in user numbers year after year.",data description error,'Developed nations' is an overgeneralization that is not directly supported by the chart.,Denmark maintained a higher number of Internet users than Greece and the global average over the period.,,selected_100,Overgeneralization candidate.
U042,S21-E02,S21,21.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1998, Denmark boasted the highest count at roughly 25 thousand users, followed closely by Canada at 20 thousand.",idiomaticity or non-standard expression problem,'Boasted the highest count' is too evaluative and informal for neutral Task 1 description.,"In 1998, Denmark had the highest figure at roughly 25 thousand users, followed by Canada at 20 thousand.",,selected_100,Style/register candidate.
U043,S22-E01,S22,22.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The three countries always had much more internet users than the world average.,grammar-related error,'Much more users' should be 'many more users'; the comparison is also imprecise.,The three countries generally had many more Internet users than the world average.,,selected_100,Short comparison/grammar candidate.
U044,S22-E02,S22,22.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Then Greece, and the world average was the lowest.",cohesion problem,The sentence is incomplete and the comparison sequence is not properly expressed.,"Greece followed, while the world average was the lowest.",,selected_100,Fragment/cohesion candidate.
U045,S23-E01,S23,23.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2013, Denmark's internet users exceeded 100,000, while Canada and Greece reached roughly 70,000 and 40,000 respectively.",data description error,The numerical values or unit expression may be inaccurate.,"By 2013, Denmark had the highest figure, while Canada and Greece reached lower levels respectively.",,selected_100,Data/unit candidate.
U046,S23-E02,S23,23.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Even the world average grew from below 10,000 in 1998 to about 40,000 in 2013.",data description error,'Even' adds evaluative tone and the unit/numerical expression may require checking.,"The world average grew from below 10,000 in 1998 to about 40,000 in 2013.",,selected_100,Data description/register candidate.
U047,S24-E01,S24,24.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The bar chart shows the number of internet user in Greece, Denmark and Canada, as well as the world average, between 1998 and 2013.",grammar-related error,'Internet user' should be plural in this context.,"The bar chart shows the number of Internet users in Greece, Denmark and Canada, as well as the world average, between 1998 and 2013.",,selected_100,Clear plural error.
U048,S24-E02,S24,24.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, the number of internet users increased in all three countries and the world average during this period.",grammar-related error,The phrase 'in all three countries and the world average' is not parallel.,"Overall, the number of Internet users increased in all three countries and in the world average during this period.",,selected_100,Parallel structure candidate.
U049,S25-E01,S25,25.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Additionally, the growth rates in Greece and Candda were notably higher than that of the world average.",comparison-related error,'Candda' is a spelling error; 'rates' does not agree with 'that of'.,"Additionally, the growth rates in Greece and Canada were notably higher than that of the world average.",,selected_100,Comparison agreement candidate.
U050,S25-E02,S25,25.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1998, Denmark led the way with approximately 40,000 Internet users, which was nearly double the figure for Canada (around 20,000), and far ahead of Greece and the global average.",data description error,The numerical relationship may be inaccurate and the wording is somewhat evaluative.,"In 1998, Denmark had approximately 40,000 Internet users, nearly double the figure for Canada and far above Greece and the global average.",,selected_100,Data relation candidate.
U051,S26-E01,S26,26.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,Among them Canada while the world average remained the lowest throughout.,cohesion problem,The sentence is incomplete; the Canada part lacks a clear predicate and the comparison is unclear.,"Canada had the highest figure, while the world average remained the lowest throughout.",,selected_100,Fragmented comparison sentence.
U052,S26-E02,S26,26.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,By 2003 there was a shape rise in all regions Canada reached about 75 thousand users followed by Denmark at around 70 thousand.,lexical choice error,'Shape rise' should be 'sharp rise'; the sentence also lacks clear punctuation and coordination.,"By 2003, there was a sharp rise in all regions; Canada reached about 75 thousand users, followed by Denmark at around 70 thousand.",,selected_100,Good lexical-choice and cohesion candidate.
U053,S27-E01,S27,27.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The chart shows us the data of the users of Internet in three diverse countries and world average from 1998 to 2013.,idiomaticity or non-standard expression problem,The phrase 'shows us the data of the users of Internet' is unnatural and overly wordy.,The chart shows the number of Internet users in three countries and the world average from 1998 to 2013.,,selected_100,Introductory sentence with learner-style phrasing.
U054,S27-E02,S27,27.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all categories experienced a steady upward trend, with Canada consistently leading throughout the period, while the world average kept the lowest.",collocation problem,'Kept the lowest' is an unnatural collocation; 'remained the lowest' is more appropriate.,"Overall, all categories experienced a steady upward trend, with Canada consistently leading throughout the period, while the world average remained the lowest.",,selected_100,Good collocation candidate.
U055,S28-E01,S28,28.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,There is a significant increasing for all parts of the users and with increasing trend over the fifteen years.,grammar-related error,"'A significant increasing' is a word-form error, and the sentence structure is repetitive.",There was a significant increase in Internet users across all categories over the fifteen-year period.,,selected_100,Good word-form/grammar candidate.
U056,S28-E02,S28,28.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,All of the three countries reached the highest level and are all higher than the average users.,comparison-related error,The comparison objects are unclear; countries are compared with average users rather than figures.,The figures for all three countries were higher than the world average.,,selected_100,Good comparison candidate.
U057,S29-E01,S29,29.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all figures experienced a steady upward trend, with Denmark and Greece consistently ranking above the world average, while Canada remained below it throughout the period.",data description error,The reported relationship among countries and the world average appears inaccurate.,"Overall, all figures increased steadily, but the relative positions of the countries should be described accurately.",,selected_100,Good data-accuracy candidate.
U058,S29-E02,S29,29.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Canada had only about 10 thousand users, far below the world average of roughly 15 thousand.",data description error,The data comparison appears inaccurate.,"Canada had about 10 thousand users, but the comparison with the world average should be checked against the chart.",,selected_100,Data comparison problem.
U059,S30-E01,S30,30.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, Internet users numbers rose dramatically in all three nations and the worldwide average throughout the timeframe.",collocation problem,'Internet users numbers' is an unnatural noun phrase.,"Overall, the number of Internet users rose dramatically in all three nations and in the world average throughout the period.",,selected_100,Good noun-phrase collocation candidate.
U060,S30-E02,S30,30.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Its user count grew from 29 thousand in 1998 to 73 thousand in 2003, then reached 81 thousand in 2008 and 91 thousand by the final year.",cohesion problem,"The referent of 'Its' is unclear, and 'by the final year' could be made more explicit.","Canada's user count grew from 29 thousand in 1998 to 73 thousand in 2003, then reached 81 thousand in 2008 and 91 thousand in 2013.",,selected_100,Pronoun reference candidate.
U061,S31-E01,S31,31.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,"In 1980, the proportion in Sweden was about 15%, the USA was lower than Sweden, about 12%, and Japan was the lowest.",comparison-related error,The comparison structure is not parallel and directly compares countries rather than figures.,"In 1980, the proportion in Sweden was about 15%, while the figure for the USA was lower at about 12%, and Japan had the lowest figure.",,selected_100,Good comparison candidate.
U062,S31-E02,S31,31.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,"In general, the proportion of old-aged people in these three countries is increasing.",idiomaticity or non-standard expression problem,"'Old-aged people' is unnatural, and the tense does not clearly account for historical and projected data.","In general, the proportion of people aged 65 and over increased and is projected to continue increasing in these three countries.",,selected_100,Good age-population wording candidate.
U063,S32-E01,S32,32.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,"The three group which are reflected in this graph are Japan, Sweden USA.",grammar-related error,"There are plural, relative clause, and listing errors.","The three groups reflected in this graph are Japan, Sweden, and the USA.",,selected_100,Clear grammar candidate.
U064,S32-E02,S32,32.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,There was a slightly drop in the proportion of population aged 65 and over in Japan from 1940 to around 1987.,lexical choice error,'Slightly drop' is a word-form error; 'slight drop' is required.,There was a slight drop in the proportion of the population aged 65 and over in Japan from 1940 to around 1987.,,selected_100,Good word-form candidate.
U065,S33-E01,S33,33.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,"According to the line graph above, shows the proportion of population aged 65 and over in three countries.",grammar-related error,The sentence lacks a subject after the introductory phrase.,The line graph above shows the proportion of the population aged 65 and over in three countries.,,selected_100,Clear introductory grammar candidate.
U066,S33-E02,S33,33.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,Both of population aged 65 and over in Sweden and USA are 7 to 9 percent matchup which increased in the similar rate before 2000.,idiomaticity or non-standard expression problem,"'Both of population', 'matchup', and 'in the similar rate' are non-standard expressions.","The proportions of people aged 65 and over in Sweden and the USA were between 7% and 9%, and increased at a similar rate before 2000.",,selected_100,Strong non-standard expression candidate.
U067,S34-E01,S34,34.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,The line graph shows the proportion of population aged 65 and over about in three countries from 1940 to 2040.,grammar-related error,The phrase 'about in three countries' is misplaced and the noun phrase lacks an article.,The line graph shows the proportion of the population aged 65 and over in three countries from 1940 to 2040.,,selected_100,Good introductory grammar candidate.
U068,S34-E02,S34,34.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,"Overall, the figures of three countries has a general upward trend.",grammar-related error,There is a subject-verb agreement error and the phrase 'figures of three countries' is not fully natural.,"Overall, the figures for the three countries show a general upward trend.",,selected_100,Short clear grammar error.
U069,S35-E01,S35,35.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,The proportion of population aged 65 and over in 2040 was definitely more than 1940.,comparison-related error,The comparison is incomplete because it compares a future year directly with a past year rather than comparing figures; tense choice is also problematic.,The proportion of the population aged 65 and over in 2040 is projected to be much higher than it was in 1940.,,selected_100,Good comparison and tense candidate.
U070,S35-E02,S35,35.jpg,main_40_candidate_bank,IELTS Task 1 line-graph description: ageing population,And Japan in 2030 became the largest proportion in three different countries.,grammar-related error,"The sentence begins with 'And', uses the wrong tense for projected data, and says Japan became a proportion rather than had the largest proportion.","By 2030, Japan is expected to have the largest proportion among the three countries.",,selected_100,Good learner trace for future data description.
U071,S36-E01,S36,36.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,The Porth Harbour is developing so that there are many differences from 2000 to today.,idiomaticity or non-standard expression problem,'Is developing so that' is unnatural for describing map changes; the time comparison is also vague.,Porth Harbour changed in several ways between 2000 and the present.,,selected_100,Good map/plan wording candidate.
U072,S36-E02,S36,36.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,"Today, between the two car parks, a Showers & and toilets is added.",grammar-related error,The noun phrase and passive structure are incorrect.,A shower and toilet facility has been added between the two car parks.,,selected_100,Good grammar candidate.
